sentence1,sentence2,score
The cat is licking a bottle.,A cat plays with a small bottle.,2.333
A person is slicing an onion.,A person cuts ginger.,1.4
A person is peeling a potato with a potato peeler.,A man is cutting tomatoes with a cleaver.,0.75
Two women are dancing and singing in front of a crowd.,The women are singing and dancing.,3.538
A man is seasoning some carrots.,A woman is slicing garlic.,0.8
Two men pushed carts through the woods.,Two men are pushing carts.,3.5
A man is playing a football.,A man is maneuvering a soccer ball with his feet.,2.0
The lady peeled the potatoe.,A woman is peeling a potato.,4.75
A woman is slicing some tofu.,A woman is cutting a block of tofu into small cubes.,4.0
Someone typed on a keyboard.,Someone is typing.,4.5
"Three young men run, jump, and kick off of a Coke machine.",Three men are jumping off a wall.,1.5
A young Asian girl is applying eyeliner.,A girl is putting on eye makeup.,2.4
A cat is walking around a house.,A woman is peeling potato.,0.0
A woman is talking to her pet bunny as she fondles it.,A woman walks her dog onto astro turf.,0.4
A monkey is playing drums.,Someone in a gorilla costume is playing a set of drums.,2.5
A man is riding a white horse on an enclosed ground.,Someone is riding a horse.,2.6
An oriental lady is cutting a carrot into thin pieces.,A woman is slicing a carrot.,3.6
A group of people are dancing.,Women are dancing outside.,3.0
A man is playing guitar.,A boy is talking to a giant dog.,0.0
A woman mixes up vegetables.,A woman is adding ingredients to a skillet.,1.6
A woman pours a mixture into a bowl and mixes it.,A woman is preparing an egg in a skillet.,1.25
A man is cutting pieces of butter into a mixing bowl.,Pieces of butter is added in the stand mixer.,3.6
A man is putting garlic on some bread slices.,A man is sprinkling seasoning on several split and buttered loaves of bread.,2.0
The panda bear lay on the logs.,A panda is lying down.,3.6
Five men jump into a swimming pool.,A group of swimmers fall into a pool.,2.8
A cheetah is running behind its prey.,A cheetah chases prey on across a field.,4.4
A cat is playing on the floor.,A man is slicing garlic.,0.0
A boy is playing violin on stage.,A person is mixing a pot.,0.0
A dog is barking at a toy.,The little dog barked at the electronic toy.,3.75
A man is cycling.,A boy is riding a bicycle.,2.5
A woman is slicing ginger.,A person is holding two baby lorises.,0.0
A man is dragging a dead deer.,A man is jumping into water from a cliff.,0.8
A man is preparing a snake for cooking.,The man is dropping sliced cucumbers into water.,1.0
A woman is spreading mustard on a bread roll.,A kitten is playing with a woman's finger.,0.0
Someone touched the kitten chewing on a string.,Someone is cutting paper.,0.25
Meat is being put into a skillet.,A woman is putting a baby into a trash can.,0.4
A baby elephant is eating a small tree.,A little girl peddling a scooter.,0.0
A woman and man are dancing in the rain.,A man and woman are dancing in rain.,5.0
Someone is drawing.,Someone is dancing.,0.3
A man is playing a guitar.,A woman is playing the guitar.,2.75
Two men are fistfighting in a ring.,Two men fistfight in a ring.,5.0
A person wipes butter on a tray.,A person is buttering a tray.,4.25
Two men are playing football.,Two men are practicing football.,3.4
The man is playing the guitar.,The girl is playing the guitar.,1.6
A man is peeling a potato.,A man is slicing a potato.,2.6
A woman is stabbing a potato with a fork.,A woman is puncturing a potato with a fork.,5.0
A child is waking up.,A girl is waking up.,3.2
A boy is playing a key-board.,A little boy is playing a keyboard.,4.8
A woman plays the flute.,A woman is playing the flute.,5.0
A woman is playing an electric guitar.,A man is playing an acoustic guitar.,2.4
A man is playing a flute.,A man is playing a guitar.,2.0
A group of people are sweeping water out of a house.,People are sweeping water out of a house.,5.0
A man plays a guitar.,A man is playing a guitar.,5.0
A man and a woman is kissing each other.,A man and a woman are hugging and kissing each other.,3.4
A woman is climbing a cliff.,A woman is climbing a rock face.,4.5
A polar bear is running towards a group of walruses.,A polar bear is chasing a group of walruses.,4.2
A woman is cutting some fish.,A woman is cutting tofu.,2.2
Someone is playing a piano.,Someone is playing guitar.,2.4
A man is pouring rice a roni into a pan.,A man poured ric-a-roni into a pan.,3.8
A man is breaking wooden boards with his hand.,A man is breaking tiles with his hands.,2.5
A girl is playing guitar.,A girl is playing a piano.,2.0
A man is praying.,A man is dancing.,0.75
A man is playing piano.,A man is playing a violin.,2.0
A woman is slicing an onion.,A woman is slicing lemons.,2.2
A man is riding a horse by a creek.,A man is riding a horse.,4.0
A man is playing a guitar.,A man is playing a guitar and singing.,3.2
A man is picking up a tree.,A man is carrying a tree.,3.8
A person is peeling a potato.,The man is peeling a potato.,3.75
A person is playing a piano.,A person is slicing a potato.,0.5
A man is spitting.,A man is talking.,0.8
A man is playing a musical keyboard.,A man is playing a keyboard piano.,5.0
A man is dancing.,A man is thinking.,1.2
A man plays a trumpet.,A man is playing the trumpet.,5.0
A woman is riding a horse.,A man rides a horse.,2.8
A band is playing on stage.,A woman is dancing on a stage.,1.2
A woman is playing a guitar and singing.,A woman is playing the guitar.,3.2
The man is eating.,A man is eating food.,4.6
A little boy hits a golf ball.,The little boy swung at the golf ball.,4.0
A guy is taking off his sunglasses.,A boy is removing his sunglasses.,3.8
Someone is reading an email.,A man is reading his email.,3.4
A person is slicing onions.,Someone is slicing an onion.,4.6
A girl is coming up on a car.,A girl jumps on top of a car.,2.6
A man is playing drums.,A man is playing his guitar.,1.8
Someone is slicing a onion.,Someone is carrying a fish.,0.75
A woman is dicing some peeled potatoes cut into thick strips.,A woman is chopping a peeled potato into slices.,4.0
A little girl peddling a scooter.,A girl is riding a scooter.,2.75
A cat cleans itself.,A cat is licking itself.,3.8
A man is kicking a soccer ball.,A man is performing tricks with a soccer ball.,2.6
A woman opens a window.,A woman is looking out a window.,2.0
Three men are doing same dance in the street.,Three shirtless men are dancing in the street.,3.8
The man is playing the guitar.,The man is peeling a potato.,0.583
A man is dancing.,A woman is exercising.,0.4
A woman is exercising.,A man is dancing.,0.25
A boy is playing the violin onstage.,A boy is playing an instrument.,2.8
The woman is measuring the other woman.,The lady measured the other woman's ankle.,3.2
A man is doing exercise.,A man is firing a rifle.,0.5
A dog is playing with a toy.,A dog is eating a doll.,2.25
A man is playing a piano.,A guy is peeling a potato.,0.0
A man is bowling.,A kitten is walking.,0.0
A woman is dancing near a fire.,A woman is cutting a tomatoe.,0.308
A man is making a bed.,A man is speaking to an audience.,0.75
A person is riding a motorcyle.,A person is chopping an onion.,0.4
A man pours rice into a pot.,A man is putting rice in a bowling pot.,4.2
A person is slicing some garlic.,A person is dicing a clove of garlic with a knife.,3.75
A woman is slicing ginger.,A woman is cutting potatoes.,1.6
Men are playing soccer.,Two teams play soccer.,3.0
A person is scrubbing a zucchini.,A woman is scrubbing a zucchini with a vegetable brush.,4.0
A panda bear is chewing on a stick.,A baby panda plays with a stick.,3.0
The people are lifting bags.,Several people are carrying large bags.,3.75
A man is talking on the phone.,A man is moon-walking across a store.,0.4
A woman is braiding her hair.,A man is riding a motorcycle.,0.0
The man is throwing knives at a tree.,A man is throwing blades into a close target outside.,3.0
